Year,Destination,Origin,Refugees
1999,Kenya,Sudan,64254
1999,Kenya,Somalia,141088
1999,Netherlands,Afghanistan,20256
1999,Netherlands,Iraq,24875
1999,Pakistan,Afghanistan,1200000
1999,Rwanda,Dem. Rep. of the Congo,32951
1999,Sudan,Ethiopia,35396
1999,Sweden,Iraq,23585
1999,Chad,Sudan,23310
1999,Thailand,Myanmar,99716
1999,United Rep. of Tanzania,Burundi,498982
1999,United Rep. of Tanzania,Dem. Rep. of the Congo,98545
1999,United Rep. of Tanzania,Rwanda,20098
1999,Uganda,Sudan,200565
1999,United States of America,Somalia,27874
1999,United States of America,Viet Nam,78355
1999,Yemen,Somalia,55186
1999,Zambia,Dem. Rep. of the Congo,36421
2000,Burundi,Dem. Rep. of the Congo,25847
2000,Bangladesh,Myanmar,21556
2000,Central African Rep.,Sudan,36151
2000,China,Viet Nam,294057
2000,Dem. Rep. of the Congo,Rwanda,46280
2000,Dem. Rep. of the Congo,Sudan,72910
2000,Congo,Dem. Rep. of the Congo,97600
2000,Djibouti,Somalia,21698
2000,Ethiopia,Sudan,71732
2000,Ethiopia,Somalia,121096
2000,United Kingdom,Somalia,26891
2000,Iran (Islamic Rep. of),Afghanistan,1482000
2000,Iran (Islamic Rep. of),Iraq,386000
2000,Kenya,Sudan,55585
2000,Kenya,Somalia,137376
2000,Netherlands,Afghanistan,23629
2000,Netherlands,Iraq,25284
2000,Pakistan,Afghanistan,2000000
2000,Rwanda,Dem. Rep. of the Congo,27441
2000,Sudan,Ethiopia,34132
2000,Sweden,Iraq,25570
2000,Thailand,Myanmar,104569
2000,United Rep. of Tanzania,Burundi,538448
2000,United Rep. of Tanzania,Dem. Rep. of the Congo,110412
2000,United Rep. of Tanzania,Rwanda,27372
2000,Uganda,Sudan,212156
2000,United States of America,Somalia,34005
2000,United States of America,Viet Nam,49008
2000,Yemen,Somalia,56524
2000,Zambia,Dem. Rep. of the Congo,45051
2001,Burundi,Dem. Rep. of the Congo,26670
2001,Bangladesh,Myanmar,22106
2001,Central African Rep.,Sudan,36345
2001,China,Viet Nam,295276
2001,Dem. Rep. of the Congo,Rwanda,30414
2001,Dem. Rep. of the Congo,Sudan,75009
2001,Congo,Dem. Rep. of the Congo,92778
2001,Djibouti,Somalia,21712
2001,Ethiopia,Sudan,80934
2001,Ethiopia,Somalia,67129
2001,United Kingdom,Somalia,31366
2001,Iran (Islamic Rep. of),Afghanistan,1482000
2001,Iran (Islamic Rep. of),Iraq,386000
2001,Kenya,Sudan,69804
2001,Kenya,Somalia,144349
2001,Netherlands,Afghanistan,26024
2001,Netherlands,Iraq,25978
2001,Pakistan,Afghanistan,2197821
2001,Rwanda,Dem. Rep. of the Congo,33064
2001,Sweden,Iraq,25889
2001,Thailand,Myanmar,110313
2001,United Rep. of Tanzania,Burundi,521180
2001,United Rep. of Tanzania,Dem. Rep. of the Congo,117516
2001,Uganda,Sudan,176766
2001,United States of America,Somalia,33750
2001,United States of America,Viet Nam,35110
2001,Yemen,Somalia,67485
2001,Zambia,Dem. Rep. of the Congo,56132
2002,Burundi,Dem. Rep. of the Congo,39762
2002,Bangladesh,Myanmar,21967
2002,Central African Rep.,Sudan,37375
2002,China,Viet Nam,297219
2002,Dem. Rep. of the Congo,Rwanda,20510
2002,Dem. Rep. of the Congo,Sudan,75781
2002,Congo,Dem. Rep. of the Congo,83515
2002,Germany,Afghanistan,52289
2002,Germany,Iraq,72697
2002,Germany,Viet Nam,26888
2002,Djibouti,Somalia,20251
2002,Ethiopia,Sudan,89952
2002,Ethiopia,Somalia,37532
2002,United Kingdom,Afghanistan,20305
2002,United Kingdom,Iraq,20580
2002,United Kingdom,Somalia,34131
2002,Iran (Islamic Rep. of),Afghanistan,1104909
2002,Iran (Islamic Rep. of),Iraq,201671
2002,Kenya,Sudan,57779
2002,Kenya,Somalia,155767
2002,Netherlands,Afghanistan,26001
2002,Netherlands,Iraq,26215
2002,Pakistan,Afghanistan,1226569
2002,Rwanda,Dem. Rep. of the Congo,29281
2002,Sweden,Iraq,25698
2002,Thailand,Myanmar,112238
2002,United Rep. of Tanzania,Burundi,540861
2002,United Rep. of Tanzania,Dem. Rep. of the Congo,140301
2002,Uganda,Sudan,188194
2002,United States of America,Somalia,28693
2002,United States of America,Viet Nam,30501
2002,Yemen,Somalia,80763
2002,Zambia,Dem. Rep. of the Congo,49160
2003,Burundi,Dem. Rep. of the Congo,40568
2003,Central African Rep.,Sudan,36479
2003,China,Viet Nam,299287
2003,Dem. Rep. of the Congo,Sudan,45060
2003,Congo,Dem. Rep. of the Congo,81004
2003,Germany,Afghanistan,46975
2003,Germany,Iraq,73489
2003,Germany,Viet Nam,25357
2003,Djibouti,Somalia,25474
2003,Ethiopia,Sudan,94899
2003,Ethiopia,Somalia,28276
2003,United Kingdom,Afghanistan,21718
2003,United Kingdom,Iraq,23421
2003,United Kingdom,Somalia,36106
2003,Iran (Islamic Rep. of),Afghanistan,834699
2003,Iran (Islamic Rep. of),Iraq,150196
2003,Kenya,Sudan,63197
2003,Kenya,Somalia,154272
2003,Netherlands,Afghanistan,26433
2003,Netherlands,Iraq,28640
2003,Pakistan,Afghanistan,1123647
2003,Rwanda,Dem. Rep. of the Congo,34725
2003,Sweden,Iraq,23918
2003,Chad,Sudan,110000
2003,Thailand,Myanmar,118762
2003,United Rep. of Tanzania,Burundi,494209
2003,United Rep. of Tanzania,Dem. Rep. of the Congo,150160
2003,Uganda,Sudan,198281
2003,United States of America,Somalia,25421
2003,United States of America,Viet Nam,21250
2003,Yemen,Somalia,59246
2003,Zambia,Dem. Rep. of the Congo,58405
2004,Burundi,Dem. Rep. of the Congo,48424
2004,Bangladesh,Myanmar,20402
2004,China,Viet Nam,299287
2004,Dem. Rep. of the Congo,Sudan,45226
2004,Congo,Dem. Rep. of the Congo,58834
2004,Germany,Afghanistan,38576
2004,Germany,Iraq,68071
2004,Germany,Viet Nam,21006
2004,Ethiopia,Sudan,90451
2004,United Kingdom,Afghanistan,22494
2004,United Kingdom,Iraq,22763
2004,United Kingdom,Somalia,36700
2004,Iran (Islamic Rep. of),Afghanistan,952802
2004,Iran (Islamic Rep. of),Iraq,93173
2004,Kenya,Sudan,67556
2004,Kenya,Somalia,153627
2004,Netherlands,Afghanistan,25907
2004,Netherlands,Iraq,27622
2004,Pakistan,Afghanistan,1290408
2004,Rwanda,Dem. Rep. of the Congo,45460
2004,Sweden,Iraq,22028
2004,Chad,Sudan,224924
2004,Thailand,Myanmar,120814
2004,United Rep. of Tanzania,Burundi,443706
